symptom,disease
"I’ve been having high fever episodes, followed by feeling very weak. The fever comes every 48 hours, and it lasts for a few hours before I start feeling weak. Yes, chills come before the fever, and I sweat a lot afterward. Yes, I went to a malaria-prone area in Africa just last month.",malaria
"I’ve been experiencing frequent urination since I started taking this new medication. It’s worse at night, I’m waking up several times. I’ll make an appointment. Thanks!",drug reaction
"I’ve been feeling very dizzy and lightheaded after starting my new antidepressant. No, just the dizziness. I’ll talk to them. Thanks.",drug reaction
"I feel weak and have stomach pain and a fever. Yes, I’ve had diarrhea. Yes, I visited Southeast Asia.",typhoid
"I’ve been feeling congested and sneezing a lot. Yes, my throat is sore, but I haven’t started coughing yet. Will the sore throat go away soon? Should I avoid cold foods and drinks?",common cold
"I’ve been urinating frequently, but I don’t feel like I’m emptying my bladder completely. Yes, it burns. About two days.",urinary tract infection
"My acne is mostly on my cheeks, and it feels like it’s always there. They’re mostly surface-level, but they pop up often and never really go away. What products should I be using to help reduce the breakouts?",acne
"I’ve been feeling very weak, and my cough has gotten worse. Yes, I’m struggling to breathe, and my chest hurts when I cough. How soon should I see a doctor?",pneumonia
"I’ve been feeling feverish and weak with stomach pain. Yes, I’ve had diarrhea. Yes, I visited India.",typhoid
"I have a rash with raised, fluid-filled blisters. Yes, they’re all over my chest, back, and face. Yes, I’ve had a low fever and feel fatigued.",chicken pox
"I’m having trouble breathing, and my cough has lasted for over a week now. Yes, I’ve had a fever on and off, and I’ve been feeling fatigued. What will the doctor check for?",pneumonia
"I have sores on my face that keep oozing. Yes, they do. They’re itchy and sometimes tender.",impetigo
"I get asthma flare-ups when I’m exposed to pollen. Is there anything I can do? I’ve tried antihistamines, but they don’t seem to help much. Should I avoid going outside when pollen levels are high?",bronchial asthma
"My lower back hurts all the time, and it’s hard to find a comfortable position to sleep in. It’s mostly in my lower back, but sometimes I feel a dull ache down my legs. What kind of treatments can help with this?",arthritis
I get asthma symptoms when I’m exposed to smoke. What can I do? What should I do if I have an asthma attack after exposure to smoke? Should I avoid all places where there could be smoke?,bronchial asthma
"I’ve been coughing non-stop, and now I feel like I can’t catch my breath. Yes, my chest hurts every time I cough, and it feels tight when I try to breathe deeply. Will I need antibiotics?",pneumonia
"I’ve been having a recurring fever and severe chills. For about a week, and yes, I feel nauseous and have a headache too. Yes, I visited a remote village for work.",malaria
"I've been having a high fever and body aches. Yes, my eyes hurt, and my joints feel sore. I’ve had a rash, and I’ve experienced a nosebleed.",dengue
"I’ve been feeling pain and stiffness in my knees, and it’s difficult to climb stairs. It’s worse after walking or climbing stairs. Can a knee brace help relieve the pain?",arthritis
"My fingernails have turned white and are lifting from the nail bed. No, they don’t hurt, but they look bad. I wash dishes a lot, and my hands are usually wet. Should I wear gloves when washing dishes?",fungal infection
"I’ve been having pain and stiffness in my shoulders and elbows. It’s worse when I try to lift things or stretch my arms. Yes, there’s some swelling in my elbows.",arthritis
"There’s a sharp pain when I urinate and I feel like I need to go all the time. No blood, just pain and frequent urination. For about three days.",urinary tract infection
"My hemorrhoids have been acting up, and now they’re bleeding a bit more than before. I’ve noticed it for a couple of days now, and there’s a bit of itching as well. What can I do to ease the itching?",dimorphic hemorrhoids
"I’m experiencing some tightness in my chest, and I’m coughing a lot. Yes, I’m allergic to dust and pollen. I’ll do that. Should I take any allergy medicine too?",allergy
"I’m experiencing some swelling and discomfort around my anus, especially after bowel movements. Yes, there’s some blood when I wipe, and the swelling feels hard at times. Can a thrombosed hemorrhoid heal on its own?",dimorphic hemorrhoids
"I’ve noticed bulging veins on my legs. They’re mostly on my calves and thighs. Yes, they’re often swollen, and sometimes they hurt. For about three months now. Yes, my mom has them.",varicose veins
"I’ve developed blisters on my skin that are oozing and crusting. Yes, they’re forming yellow crusts. They’re very itchy.",impetigo
"I’ve been having pain and stiffness in my fingers, especially in the mornings. Yes, my fingers feel swollen and stiff in the mornings, and they improve throughout the day. Can physical therapy help with the stiffness in my fingers?",arthritis
"My skin feels irritated, and I’ve noticed some swelling around my eyes. I’ve been around a lot of pollen lately.",allergy
"My eyes are yellow, and my skin is itchy. About a week now. Yes, my urine is dark, and my stools are pale.",jaundice
"I suddenly developed a high fever and intense headaches. Yes, I feel pain behind my eyes, and my muscles are aching. I have a slight rash and a nosebleed.",dengue
"I think I have jaundice. My eyes are yellow. It’s been about five days now. Yes, I’m very tired, and my skin itches constantly.",jaundice
"I’ve been feeling like there’s pressure in my stomach after eating, and I’ve been burping a lot. It seems to happen more when I eat greasy or fried foods. I’ll avoid greasy foods and book a doctor’s appointment soon.",peptic ulcer disease
"My body is covered in itchy blisters. Yes, some of them are. Yes, I’ve had chills and a mild fever.",chicken pox
"I have swelling around my anus and feel a constant ache. Yes, I’ve noticed some bleeding when wiping, and my stools have been a bit harder lately. Can I use over-the-counter treatments for this?",dimorphic hemorrhoids
"I’ve been trying to get more sleep, but I still feel tired. Could high blood pressure be affecting my rest? I haven’t yet. I’ll ask about it.",hypertension
I’ve been having trouble sleeping because of my asthma symptoms. What can I do? I haven’t been using my inhaler at night. Should I start? I’ll make an appointment to discuss this.,bronchial asthma
I have sores on my face that have become crusty and yellow. They’re mostly itchy.,impetigo
"My mouth feels dry after I started this new medicine. Yes, I’m thirsty all the time. I’ll give that a try.",drug reaction
"I have visible veins on my legs that look swollen and twisted. For about two months. Yes, they hurt, especially when I stand for too long. Yes, my mother has them.",varicose veins
"I’ve been getting sneezing fits and a runny nose every time I’m in my friend’s house. Yes, she has two cats. I’ll try taking medication next time. Should I mention it to her?",allergy
"I have a red, itchy rash on my chest. No blisters, but it’s flaky in the center. Yes, I’ve been running outside in hot weather. Should I avoid running for now?",fungal infection
"My legs feel heavy, and I can see swollen veins. For about three months. Yes, they get sore after standing for a long time. Yes, my mom has them.",varicose veins
"I have red patches on my elbows and knees that are flaky. About two months. Yes, they itch a lot, and sometimes they feel sore. Yes, both. Yes, my father has it.",psoriasis
"I’m feeling exhausted, and I’ve had a fever on and off for the past few days. It’s coming every second day, and it lasts for a few hours. Yes, I get chills before the fever and sweat heavily after. Yes, I was in a malaria-endemic area in Africa last month.",malaria
"Can stress make my asthma worse? Yes, I feel more short of breath when I’m stressed. I’ll try those techniques.",bronchial asthma
I’ve heard that acupuncture can help with migraines. Is that true? I’ve never tried acupuncture before. I’ll check out some options.,migraine
"My urine smells strange, and I feel pain when I go to the bathroom. I drink water, but it still doesn’t seem to help. About two days ago.",urinary tract infection
"I’ve been feeling lightheaded along with my migraines. Is that related? I’ve been drinking a lot of water, but it’s still happening. I’ll keep an eye on it and talk to my doctor if it continues.",migraine
"I have a rash with blisters that are oozing. Yes, they’re turning yellow. They’re very itchy and a little sore.",impetigo
I’ve heard that blood pressure increases as you get older. Is that true? That makes sense. I’ll be more diligent about it.,hypertension
Should I be worried about my blood pressure spiking during exercise? I’ve been feeling fine during exercise. I’ll continue exercising.,hypertension
"My skin is breaking out with yellow crusty sores. Yes, they’re oozing yellow fluid. They’re more itchy than painful.",impetigo
Can medications help with the pain from cervical spondylosis? I’ve been taking over-the-counter ibuprofen. I’ll talk to my doctor if it doesn’t improve.,cervical spondylosis
"I’ve been breaking out more recently, and I think it’s due to wearing a mask at work. I wear it for long shifts, so I’m in it for hours at a time. What skincare products should I use to prevent breakouts from wearing a mask?",acne
"I’ve been feeling so fatigued lately, and I’m getting stomach pain too. Could they be related? My stool has been a bit darker, and I feel a bit nauseous sometimes. I’ll make an appointment today. Thanks for your help.",peptic ulcer disease
"I’ve been feeling pain and swelling in my knees, especially after physical activity. Yes, my knees feel warm, and there’s some redness after a workout. What are some ways to prevent the pain from getting worse?",arthritis
"I’ve been dealing with hemorrhoids on and off for years, and now they’re painful again. Yes, there’s a little blood when I wipe, and the pain is worse when I sit for too long. Can hemorrhoids cause complications?",dimorphic hemorrhoids
"I have a rash between my thighs that stings when I sweat. Yes, it’s red and darker along the edges. Yes, I’ve been jogging in tight leggings. Should I stop jogging?",fungal infection
"I’m feeling constant discomfort in my pelvic region, and urination is painful. No, just the pelvic pain and frequent urination. For about three days.",urinary tract infection
"I feel really itchy all over my body, and I see red bumps. Yes, they’re becoming small fluid-filled blisters. Yes, I have a mild fever and feel really weak.",chicken pox
"I’m urinating frequently, and each time it’s painful. No blood, but it’s a bit cloudy. For about three days.",urinary tract infection
"I’ve been feeling feverish with severe joint pain. Yes, both my eyes and muscles hurt a lot. Yes, I have a rash, and my nose has bled a little.",dengue
"My stomach feels full and bloated, and I’m burping a lot after meals. Yes, I feel a burning in my chest sometimes after I eat. I’ll try keeping a food diary. Thanks for the tip!",gastroesophageal reflux disease
"I’ve had itching and discomfort around my anus, and now I’m seeing blood after passing stool. It’s minor bleeding, and there’s a bit of swelling that feels sore when I sit. Can sitting too long make them worse?",dimorphic hemorrhoids
"I’ve had a dry cough for a few days, and now it’s getting worse. Yes, I feel feverish and it’s hard to breathe deeply. How long does pneumonia take to treat?",pneumonia
"My fever is persistent, and I feel extremely fatigued. Yes, all three, especially sweating after the fever subsides. Yes, I went camping in a malaria-prone region.",malaria
"I’ve been feeling lightheaded, especially after meals. Is that something to do with diabetes? Yes, I sometimes feel shaky and dizzy. I’ll get my blood sugar tested. Thanks!",diabetes
I think I might have a migraine coming on. Is there anything I can do at the first sign of one? I’ll try to rest as soon as I feel it coming.,migraine
"Lately, my feet feel numb and tingly. Could this be diabetes-related? Yes, I’ve been drinking a lot more water, and sometimes my vision is blurry. I’ll do that. Thank you!",diabetes
"I've been feeling really tired and had a high fever for the last two days. Yes, my joints hurt a lot, and my muscles are sore. Yes, I've noticed some spots on my skin and a mild nosebleed.",dengue
"I’ve been having a fever, chills, and severe muscle pain. Yes, my joints hurt, and I feel weak. Yes, I have some rashes, and I had a nosebleed yesterday.",dengue
"I’m exercising more, but I’m still concerned about my blood pressure. Is it normal to have elevated blood pressure with exercise? That’s reassuring to know.",hypertension
"My skin is breaking out in small red bumps. Yes, they’re starting to blister. Yes, I’ve had chills and a low fever.",chicken pox
"My underarms are red and have a rash. Yes, it’s itchy and slightly painful. Yes, I’ve been sweating more due to exercising. Should I stop using deodorant?",fungal infection
"I have a dry cough and a fever, but I’m not sure if it’s pneumonia. Yes, my chest hurts a little when I cough. How will the doctor confirm if it’s pneumonia?",pneumonia
"I’ve noticed swelling around my anus and some bleeding when I wipe. Yes, there’s a dull ache and some itching. Yes, I’ve been constipated recently and had to strain more than usual.",dimorphic hemorrhoids
Can certain smells trigger migraines? I’ve noticed that perfumes bother me. I’ll start using fragrance-free products.,migraine
"I’ve been feeling full quickly when I eat, even if I haven’t eaten much. Yes, I do feel nauseous sometimes after eating. I’ll make an appointment to get checked.",peptic ulcer disease
"My blood pressure is high when I visit the doctor, but it’s fine at home. What’s going on? That makes sense. I’ll keep track of it at home.",hypertension
"I’ve been dealing with some red, flaky patches on my skin. Mainly on my knees and elbows. They’re very itchy, and sometimes they sting. About two months. Yes, both make it worse. Yes, my dad does.",psoriasis
"I’ve noticed that I’m having trouble concentrating after starting my new medication. Yes, I keep forgetting things and having trouble focusing at work. I’ll bring it up at my next appointment.",drug reaction
"My body is covered with itchy red spots. They look like blisters that are filled with fluid. Yes, I’ve had a fever for the past two days.",chicken pox
"I have itchy red spots and some blisters. Yes, I’ve had a fever for a few days now.",chicken pox
I feel pain in my stomach every time I skip a meal. I haven’t tried that yet. Thanks for the suggestion!,peptic ulcer disease
"I have veins on my legs that look bulging and blue. For the past few months. Yes, they’re swollen, and they hurt after standing. Yes, my aunt has them.",varicose veins
"My doctor told me I have high blood pressure. What does that mean? Yes, I’ve been prescribed medication. I’ve been trying to eat healthier and exercise more.",hypertension
"My baby’s skin is yellow, and she’s not feeding well. She’s four days old, and it started yesterday. She’s sleeping a lot, and her diapers are fewer than usual.",jaundice
"My stomach has been bloated, and I feel nauseous a lot after meals. I also have some pain in my upper stomach area. It’s more of a dull ache, but it’s constant. I’ll be more careful with what I eat and book an appointment with my doctor.",peptic ulcer disease
"I have white spots on my back that aren’t tanning. No, they’re smooth, but they don’t tan like the rest of my skin. Yes, I’ve been working outdoors in the heat. Will the spots disappear completely?",fungal infection
"I’ve been noticing some swollen veins on my legs. Mostly on my thighs and knees. Yes, they swell up and hurt sometimes. For about three months now. Yes, my aunt has them.",varicose veins
"My skin is breaking out with yellow crusty sores. They’re mostly itchy. Yes, a few are around my nose.",impetigo
"I’ve been feeling a bit nauseous after meals. Is this related to diabetes? Yes, I sometimes feel lightheaded, especially in the afternoons. I’ll check my blood sugar levels. Thanks!",diabetes
"I’ve been feeling fatigued more often lately, could it be my asthma? I wake up several times a night because of wheezing. I’ll talk to my doctor about adjusting my medication.",bronchial asthma
"My eyes are yellow, and I feel nauseous all the time. It started two days ago. My urine is dark, but my stools are light-colored.",jaundice
"My skin is yellow, and I have abdominal discomfort. About a week. Yes, both of those.",jaundice
"I’ve been getting really bad headaches lately. Could they be migraines? Yes, I get nauseous and feel sensitive to light.",migraine
"I’ve noticed red spots on my skin that are turning into blisters. Yes, I’ve had a fever and feel pretty weak.",chicken pox
"I’ve been having stomach pain that feels like a burning or gnawing sensation, especially when I’m hungry. It helps a little, but the pain comes back after a while. I’ll make an appointment to get it checked out.",peptic ulcer disease
"I’ve had yellow eyes and fatigue for over a week. Yes, my urine is darker, and my stools are pale. Gradually, and I’ve also had some nausea.",jaundice
"Every time I go to the bathroom, it burns and it feels like I need to go again right away. No, just the burning and urgency. For about three days.",urinary tract infection
I’ve been feeling pain when I urinate and have been going to the bathroom more often than usual. About four days now. It’s a little darker than usual.,urinary tract infection
"I have red, itchy sores on my face that are leaking yellow fluid. Yes, they’re crusting.",impetigo
"I have pain in my hands and wrists, especially after using them for a while. Yes, my wrists feel swollen, and there’s some stiffness in my fingers. What are the treatment options for rheumatoid arthritis?",arthritis
"I’ve been feeling feverish and dizzy lately. The fever comes every two days, and I sweat excessively after. Yes, I traveled to a tropical country two weeks ago.",malaria
"I’ve been feeling tired, and I have a stuffy nose. No fever, but I’ve had a sore throat and a bit of a dry cough. Should I stay home from work? How can I manage the sore throat?",common cold
"My acne is really bad, and it’s starting to affect my confidence. Not yet, I’ve been trying to handle it on my own. Will my acne scars ever go away?",acne
"I’ve been feeling lightheaded and dizzy in the afternoons. Could this be a sign of diabetes? Yes, I’m drinking a lot more water lately, and I’ve been very tired. I’ll definitely do that. Thanks!",diabetes
"I’ve been having high fever episodes and feeling nauseous. It started about a week ago, and it comes back every two days. I also feel really weak after the fever goes down. Yes, I get chills before the fever and sweat a lot afterward. Yes, I went to a tropical region about three weeks ago.",malaria
"I’ve been feeling feverish and nauseous for the past few days. Yes, I’ve had both. Yes, I was in Southeast Asia last month.",typhoid
"I have visible veins on my legs that are swollen and painful. For the past few months. Yes, definitely. Yes, my grandmother had them.",varicose veins
"I have a rash with sores that are oozing and forming scabs. Yes, they’re yellow and crusty. They’re itchy.",impetigo
"My legs feel sore and tired, and I can see swollen veins. For the past three months. Yes, they hurt, especially after standing. Yes, my grandmother had them.",varicose veins
"I feel like I can’t fully swallow sometimes, especially after eating. Yes, I get heartburn often. I’ll try to follow these tips. Thanks!",gastroesophageal reflux disease
"I feel weak, and I’ve had a fever for a few days. Yes, I’ve had stomach pain and diarrhea. Yes, I was in Southeast Asia.",typhoid
"My skin has been peeling ever since I started this new medication. Yes, it’s a little red and itchy. I’ll call them right away. Thanks for the guidance.",drug reaction
I’ve been coughing so much at night that I can’t sleep. It’s mostly dry. Should I use a cough syrup?,common cold
"I’ve had a fever for the past few days, and my stomach hurts. Yes, I’ve had diarrhea and feeling weak. Yes, I visited Southeast Asia a few weeks ago.",typhoid
My family has a history of hypertension. Does that mean I’m more likely to get it? I try to eat healthy and stay active. I’ll keep it up.,hypertension
"I noticed some fluid-filled blisters on my skin that have crusted over. Yes, they are. They’re mostly itchy.",impetigo
"My chest feels tight after I eat, and I often burp a lot. Yes, I get heartburn after most meals. I’ll work on that. Thanks!",gastroesophageal reflux disease
"I’ve been feeling feverish for the last few days and experiencing chills. The fever usually lasts a few hours, and then I feel better for a day or so before it returns. Yes, I sweat profusely after the fever subsides. Yes, I was in Southeast Asia about three weeks ago.",malaria
"I have red, scaly patches on my skin. Mainly on my elbows and knees. They don’t hurt, but they sting when I scratch them. About two months. Yes, both stress and cold weather seem to trigger it. Yes, my dad had psoriasis.",psoriasis
"My fingers are stiff, and they hurt when I try to grip things. Yes, my fingers are swollen, especially in the mornings. What treatments are available for rheumatoid arthritis?",arthritis
I’ve heard that some medications can make migraines worse. Is that true? I’ve been using pain relievers a lot lately. I’ll make an appointment.,migraine
I’ve been feeling nauseous and vomiting after starting a new medication. It’s a new antibiotic for an infection. I’ll try that.,drug reaction
"My child’s skin looks yellowish, and he’s been very fussy. He’s six months old. I noticed it two days ago. No fever, but he’s eating less, and his stools seem lighter.",jaundice
"I’ve been itching a lot, and my eyes are yellow. The yellowing started two days ago, but the itching has been a week. Yes, my stools are pale, and my right side hurts.",jaundice
I’ve been coughing a lot and my eyes are red and watery. I’ve been spending a lot of time in a garden.,allergy
"My skin looks yellowish, and my eyes are too. A couple of days ago. It seems to be getting worse. Yes, I feel very tired, and my urine is much darker than usual.",jaundice
"My baby has white patches inside their mouth. Yes, they cry more while feeding. No, just the white patches inside the cheeks and on the tongue. Could breastfeeding be causing it?",fungal infection
I’m getting a migraine and I don’t know what to do. I’ll try to lie down and rest. I’ll see if that helps first.,migraine
"My throat is scratchy, and I’ve been sneezing a lot today. I’ve had allergies before, mostly in the spring.",allergy
I’ve noticed that my asthma gets worse when the weather changes. Is this common? I start wheezing and coughing when it gets colder. Should I take my inhaler before going out in cold weather?,bronchial asthma
"I’ve been craving sweets all the time lately. Could that be related to diabetes? Yes, I’m always thirsty and seem to be more tired than normal. I’ll get tested soon. Thanks for your help!",diabetes
My acne seems to be getting worse when I wear makeup. I’m not sure; I didn’t check. Should I stop wearing makeup completely?,acne
"I’ve been using an inhaler for my asthma, but it doesn’t seem to help much anymore. I use it every day, but I’m still having flare-ups. Not yet, but I will.",bronchial asthma
"I’ve noticed swollen veins on my legs, and they look twisted. About two months. Yes, they’re sore after I’ve been standing a lot. Yes, my aunt has them.",varicose veins
I get asthma symptoms when I’m around smoke. What can I do? What if I can’t avoid it? Should I carry my inhaler with me all the time?,bronchial asthma
"I’ve been feeling very weak and have recurring fevers. They happen every second day and last for a few hours. Yes, chills before the fever and sweating after. Yes, I visited a village last month.",malaria
My doctor suggested I try using a neck brace. How does that help with cervical spondylosis? Is it safe to wear one for long periods? I’ll follow my doctor’s advice on how long to wear it.,cervical spondylosis
"I've been feeling a constant urge to urinate, but not much comes out. Yes, there’s a burning sensation every time I go. For about two days now. Yes, I’ve had a UTI once before.",urinary tract infection
"I feel weak and have had a fever for a few days. Yes, I’ve had stomach cramps and diarrhea. Yes, I was in Southeast Asia.",typhoid
"I’ve been losing my appetite, and even the thought of food makes me nauseous. My stomach is also constantly hurting. Yes, I’ve lost a little weight recently because I don’t feel like eating much. I’ll schedule an appointment right away. Thanks for the help!",peptic ulcer disease
I don’t have any symptoms of high blood pressure. Should I still be worried? I’ll schedule a check-up then.,hypertension
"I’ve had a high fever and feel really weak. For about a week now. Yes, I’ve had stomach pain and some loose stools. Yes, I just returned from a trip to India.",typhoid
"I ate some peanuts today and noticed my lips and tongue swelling a bit. Yes, I’ve had mild reactions before, but this feels worse. I’ll keep my EpiPen with me from now on. Thanks for the advice!",allergy
"I’ve had a sore throat and stuffy nose for a few days now. I haven’t started coughing yet, but I’ve been feeling a bit achy. How can I manage the sore throat? Should I rest more or push through it?",common cold
Can chiropractic care help with cervical spondylosis? I’ve been thinking about seeing a chiropractor. I’ll check with my doctor first.,cervical spondylosis
"I’ve been prescribed medication for high blood pressure, but I sometimes forget to take it. A pill organizer sounds helpful. I’ll give it a try.",hypertension
"I feel like my chest is tight, and it hurts when I breathe deeply. Yes, I get heartburn frequently. I’ll visit my doctor to be safe.",gastroesophageal reflux disease
"I feel like I have a dry cough and a sore throat after I eat. Yes, I get heartburn regularly. I’ll try that. Thanks for the suggestions!",gastroesophageal reflux disease
I’ve been having trouble with pain and swelling in my elbows. It’s worse when I try to lift anything or even bend my elbows. Should I avoid using my elbow completely until I see a doctor?,arthritis
"I have a fever, stomach pain, and feel really tired. For about four days. Yes, I’ve been having diarrhea. Yes, I recently visited India.",typhoid
"I’ve been diagnosed with hypertension, but I’m unsure about how to talk to my family about it. Any advice? I’m not sure how they’ll react. I’ll try to bring it up.",hypertension
"After starting this medication, I’ve been having trouble sleeping. I take it at night. I’ll try that. Thanks!",drug reaction
"I’ve been getting a lot of stomach pain, and sometimes I can’t even drink water without it hurting. Yes, it’s definitely worse when I haven’t eaten for a while. I’ll go to the doctor tomorrow. Thank you!",peptic ulcer disease
"My fever is on and off, and I’ve been feeling nauseous. About a week, and yes, I feel chills before the fever and sweat after. Yes, I traveled to a tropical region a month ago.",malaria
I usually get a migraine after eating chocolate. Why does chocolate trigger migraines? I didn’t know that. I’ll try cutting back on chocolate for a while.,migraine
"I’ve had a persistent fever for the last few days. Yes, I have abdominal pain and a feeling of weakness. Yes, I was in Southeast Asia last month.",typhoid
"My skin and eyes have a yellow tint, and I feel nauseous. About three days ago. Yes, I had a mild fever, and my stools are pale.",jaundice
"I feel weak, and my fever won’t go down. Yes, my muscles and joints are sore. Yes, I have a rash, and I had a nosebleed.",dengue
"My elbows and knees have these dry, red patches. They itch a lot, especially when I scratch them. I noticed them about three months ago. Yes, cold weather and stress make it worse. Yes, my mom had it.",psoriasis
"I’m feeling a lot of pressure and discomfort around my anus, and there’s blood when I wipe. Yes, there’s some swelling, and it’s very itchy too. How long can this last?",dimorphic hemorrhoids
"I’ve been feeling feverish, and my cough just won’t go away. Yes, I get out of breath easily, and my chest hurts when I cough. Will I need a chest X-ray?",pneumonia
I’ve noticed some swelling in my ankles lately. Could this be related to my blood pressure? I’m on medication for blood pressure. I’ll book an appointment soon.,hypertension
I’ve heard that cervical spondylosis can lead to nerve damage. Is that true? I’ve been feeling some numbness in my hands. I’ll get an appointment scheduled.,cervical spondylosis
"I get asthma flare-ups when I’m near cleaning products. What can I do? I’ve already switched to natural products, but I’m still having issues. Should I be using my inhaler when I clean?",bronchial asthma
"I’ve been feeling feverish and have a constant headache. The fever started three days ago, and yes, I get chills before the fever, then sweat afterward. Yes, I feel totally drained and can’t do much. Yes, I traveled to a tropical region last month.",malaria
"I’ve been feeling really fatigued and I have a burning sensation when I pee. For about two days. Yes, it looks a bit cloudy.",urinary tract infection
"I’ve been feeling nauseous, and my skin looks yellow. The yellowing started three days ago, and the nausea has been on and off. My urine is darker, and my stools are pale.",jaundice
"I’ve been feeling feverish, and my body hurts all over. Yes, both my eyes and joints hurt. Yes, I have a rash, and my nose has been bleeding.",dengue
"I’ve been feeling feverish and having severe pain behind my eyes. Yes, my muscles and joints hurt, and my eyes feel sore. Yes, I have some rash on my skin and had a small nosebleed.",dengue
"I’ve been feeling feverish and weak for a few days. Yes, I’ve had stomach pain and diarrhea. Yes, I was in India last month.",typhoid
"My skin is covered in itchy, red bumps. Some of them are blistering. Yes, I’ve had a fever and feel tired.",chicken pox
How do I know if my headache is a migraine or just a regular one? I definitely have the nausea with mine. I’ll make an appointment.,migraine
"I’ve got red spots on my body that are really itchy. Yes, they are. Yes, I’ve had a fever and feel weak.",chicken pox
"My child’s eyes look yellow, and she’s been more irritable. I noticed it three days ago. No fever, but her urine is darker, and her stools are lighter.",jaundice
"I’ve been coughing for a while now, and it’s worse at night. Yes, I wake up gasping for air sometimes. What might the doctor prescribe?",pneumonia
"I’ve been getting headaches frequently. Could diabetes be the cause? They seem to be worse in the afternoon. Yes, I’ve been feeling thirsty and tired a lot lately. I’ll get it checked. Thanks!",diabetes
I feel like I’m constantly battling neck pain. Is this something I’ll have to deal with for the rest of my life? I’m worried it will keep getting worse. I’ll stick with a consistent treatment plan.,cervical spondylosis
I’m worried about taking blood pressure medication. Are there any side effects? I’ve been feeling a bit more tired than usual. I’ll bring it up with my doctor next time.,hypertension
"I’ve noticed that I’ve been losing weight even though my appetite is the same. Is that something to worry about? Yes, I’ve been drinking a lot of water lately. I’ll book an appointment with my doctor. Thanks!",diabetes
Can certain foods trigger migraines? I think cheese and wine might be causing mine. I’ll cut back on both.,migraine
"I’m coughing up mucus that’s been greenish in color. Yes, I’m constantly tired, and it feels like I’m not getting enough air. Could this be something other than pneumonia?",pneumonia
"I have blisters that are spreading on my skin. Yes, I’ve been feeling very tired and have a mild fever.",chicken pox
"I’ve had hemorrhoids on and off for years, but they seem worse now. Yes, there’s some blood when I wipe, and the swelling seems bigger. Could this be a sign of something more serious?",dimorphic hemorrhoids
"I have a cough and a sore throat, but no fever. Yes, I’m very congested. What else can I do for the sore throat? Should I take a pain reliever?",common cold
"I’ve been feeling really tired, and my cough is persistent. Yes, I’m having difficulty breathing and a dull pain in my chest when I cough. What should I do in the meantime?",pneumonia
"I feel like I have a lump near my anus, and it’s painful when I pass stool. It’s kind of hard, and it gets worse after I’ve been sitting for a while. How long does it usually take to heal?",dimorphic hemorrhoids
"I have scaly patches on my skin that won’t go away. Mostly on my elbows, knees, and back. Yes, they’re itchy and sometimes they crack open and bleed.",psoriasis
"I’m sneezing a lot, and my throat feels scratchy. Yes, I’ve been spending time in the garden.",allergy
"I’ve been feeling a bit wheezy and have tightness in my chest. I’ve had asthma in the past, so it might be related.",allergy
"I’ve been getting tightness in my chest, especially when I’m sleeping. Could this be asthma? Yes, both. I’ve been using my inhaler, but it’s not helping much at night.",bronchial asthma
"I have fluid-filled blisters that are itchy. Yes, I’ve had a fever and feel weak.",chicken pox
"I get regurgitation, especially after I eat a heavy meal. Yes, I get heartburn quite often. I’ll try to eat earlier. Thanks!",gastroesophageal reflux disease
"I’ve noticed some lumpy veins on my legs. For about two months. Yes, they’re sore sometimes. Yes, definitely. Yes, my mom has them.",varicose veins
"I’ve been feeling very bloated after eating, and it’s uncomfortable. Yes, I often feel a burning sensation after eating. I’ll try that. Thanks!",gastroesophageal reflux disease
"I feel nauseous after eating and sometimes even vomit. Yes, I also get heartburn frequently. I’ll get it checked out soon.",peptic ulcer disease
"I have red sores on my skin that are oozing. Yes, they’re forming a yellowish crust. They’re a little itchy and uncomfortable.",impetigo
"I’ve been feeling unusually hungry lately, even after eating. Could this be linked to diabetes? Yes, I’m thirsty all the time and tired even after a full night’s sleep. I’ll book an appointment. Thanks for your help!",diabetes
"I’ve been taking my blood pressure medication, but I’m still having trouble managing my weight. Not yet. I’ll look into that.",hypertension
"I’ve noticed veins on my legs that are swollen and blue. For a few months now. Yes, they get swollen and sometimes hurt. Yes, my mom has them.",varicose veins
"I keep sneezing, and my throat feels ticklish. Yes, both. Should I avoid going outside?",common cold
"I’ve been having a persistent cough, and now I’m feeling feverish and chills. Yes, I’m having some sharp pain in my chest when I cough. Should I wait to see if it gets better on its own?",pneumonia
I’ve been having a lot of cravings for sweet foods lately. Could this be related to diabetes? I’ve been feeling very tired and thirsty all the time. I’ll book an appointment soon. Thanks for the help!,diabetes
"I’ve been sweating a lot and have a fever that won’t go away. About a week now. Yes, all of those, especially the chills before the fever. Yes, I went camping near a lake.",malaria
I think my acne is related to my diet. Can certain foods make it worse? I’ve noticed that I break out after eating chocolate and cheese. Do I need to cut them out completely?,acne
"My skin has developed some yellow crusty patches. Yes, they’re oozing a little yellow fluid. They’re mostly itchy.",impetigo
"My baby’s diaper area is red and has small bumps. Yes, and it seems to bother them when I clean the area. Yes, around the folds of their thighs. Should I stop using baby wipes?",fungal infection
"I’ve been feeling full quickly when I eat, and it’s uncomfortable. Yes, I get stomach cramps sometimes, and I feel a bit nauseous after eating. I’ll book an appointment soon.",peptic ulcer disease
